Latency,Area
28,01_LGN_M
29,01_LGN_M
29,01_LGN_M
29,01_LGN_M
29,01_LGN_M
29,01_LGN_M
29,01_LGN_M
30,01_LGN_M
30,01_LGN_M
30,01_LGN_M
31,01_LGN_M
31,01_LGN_M
31,01_LGN_M
31,01_LGN_M
31,01_LGN_M
31,01_LGN_M
31,01_LGN_M
31,01_LGN_M
32,01_LGN_M
32,01_LGN_M
32,01_LGN_M
32,01_LGN_M
32,01_LGN_M
32,01_LGN_M
33,01_LGN_M
33,01_LGN_M
33,01_LGN_M
33,01_LGN_M
33,01_LGN_M
33,01_LGN_M
33,01_LGN_M
33,01_LGN_M
33,01_LGN_M
33,01_LGN_M
34,01_LGN_M
34,01_LGN_M
34,01_LGN_M
34,01_LGN_M
34,01_LGN_M
34,01_LGN_M
34,01_LGN_M
35,01_LGN_M
35,01_LGN_M
35,01_LGN_M
35,01_LGN_M
36,01_LGN_M
38,01_LGN_M
38,01_LGN_M
40,01_LGN_M
40,01_LGN_M
40,01_LGN_M
51,01_LGN_M
31,02_LGN_P
32,02_LGN_P
36,02_LGN_P
37,02_LGN_P
37,02_LGN_P
37,02_LGN_P
38,02_LGN_P
39,02_LGN_P
39,02_LGN_P
39,02_LGN_P
40,02_LGN_P
41,02_LGN_P
42,02_LGN_P
43,02_LGN_P
43,02_LGN_P
43,02_LGN_P
43,02_LGN_P
44,02_LGN_P
44,02_LGN_P
44,02_LGN_P
44,02_LGN_P
46,02_LGN_P
46,02_LGN_P
46,02_LGN_P
46,02_LGN_P
47,02_LGN_P
47,02_LGN_P
47,02_LGN_P
48,02_LGN_P
48,02_LGN_P
48,02_LGN_P
48,02_LGN_P
48,02_LGN_P
48,02_LGN_P
49,02_LGN_P
49,02_LGN_P
49,02_LGN_P
49,02_LGN_P
50,02_LGN_P
50,02_LGN_P
50,02_LGN_P
51,02_LGN_P
51,02_LGN_P
51,02_LGN_P
51,02_LGN_P
52,02_LGN_P
52,02_LGN_P
53,02_LGN_P
53,02_LGN_P
53,02_LGN_P
54,02_LGN_P
54,02_LGN_P
54,02_LGN_P
54,02_LGN_P
55,02_LGN_P
55,02_LGN_P
55,02_LGN_P
56,02_LGN_P
56,02_LGN_P
56,02_LGN_P
57,02_LGN_P
57,02_LGN_P
57,02_LGN_P
57,02_LGN_P
58,02_LGN_P
59,02_LGN_P
59,02_LGN_P
60,02_LGN_P
61,02_LGN_P
61,02_LGN_P
62,02_LGN_P
62,02_LGN_P
63,02_LGN_P
64,02_LGN_P
65,02_LGN_P
67,02_LGN_P
70,02_LGN_P
76,02_LGN_P
34,03_V1
44,03_V1
45,03_V1
48,03_V1
48,03_V1
50,03_V1
51,03_V1
53,03_V1
56,03_V1
57,03_V1
58,03_V1
58,03_V1
58,03_V1
59,03_V1
60,03_V1
60,03_V1
61,03_V1
61,03_V1
61,03_V1
61,03_V1
62,03_V1
62,03_V1
62,03_V1
62,03_V1
62,03_V1
62,03_V1
62,03_V1
62,03_V1
63,03_V1
63,03_V1
63,03_V1
63,03_V1
64,03_V1
64,03_V1
64,03_V1
64,03_V1
65,03_V1
65,03_V1
65,03_V1
65,03_V1
66,03_V1
66,03_V1
67,03_V1
67,03_V1
67,03_V1
68,03_V1
69,03_V1
69,03_V1
69,03_V1
69,03_V1
70,03_V1
71,03_V1
71,03_V1
71,03_V1
72,03_V1
72,03_V1
72,03_V1
73,03_V1
74,03_V1
75,03_V1
75,03_V1
76,03_V1
76,03_V1
76,03_V1
77,03_V1
78,03_V1
78,03_V1
79,03_V1
80,03_V1
85,03_V1
86,03_V1
87,03_V1
89,03_V1
97,03_V1
57,04_V2
59,04_V2
60,04_V2
62,04_V2
64,04_V2
65,04_V2
66,04_V2
66,04_V2
67,04_V2
67,04_V2
68,04_V2
69,04_V2
71,04_V2
71,04_V2
71,04_V2
71,04_V2
72,04_V2
72,04_V2
74,04_V2
76,04_V2
76,04_V2
77,04_V2
78,04_V2
78,04_V2
80,04_V2
81,04_V2
81,04_V2
82,04_V2
82,04_V2
83,04_V2
83,04_V2
83,04_V2
84,04_V2
86,04_V2
87,04_V2
87,04_V2
90,04_V2
90,04_V2
90,04_V2
90,04_V2
91,04_V2
92,04_V2
92,04_V2
92,04_V2
92,04_V2
93,04_V2
93,04_V2
94,04_V2
95,04_V2
97,04_V2
100,04_V2
103,04_V2
103,04_V2
104,04_V2
105,04_V2
107,04_V2
109,04_V2
110,04_V2
112,04_V2
117,04_V2
118,04_V2
55,05_V3
57,05_V3
58,05_V3
58,05_V3
58,05_V3
59,05_V3
59,05_V3
60,05_V3
60,05_V3
61,05_V3
61,05_V3
61,05_V3
63,05_V3
63,05_V3
63,05_V3
63,05_V3
63,05_V3
64,05_V3
64,05_V3
64,05_V3
65,05_V3
65,05_V3
66,05_V3
66,05_V3
66,05_V3
66,05_V3
67,05_V3
67,05_V3
67,05_V3
67,05_V3
68,05_V3
68,05_V3
68,05_V3
68,05_V3
68,05_V3
68,05_V3
69,05_V3
69,05_V3
69,05_V3
69,05_V3
69,05_V3
69,05_V3
70,05_V3
70,05_V3
70,05_V3
70,05_V3
70,05_V3
70,05_V3
70,05_V3
71,05_V3
71,05_V3
71,05_V3
72,05_V3
72,05_V3
72,05_V3
72,05_V3
73,05_V3
73,05_V3
73,05_V3
73,05_V3
73,05_V3
73,05_V3
73,05_V3
73,05_V3
74,05_V3
74,05_V3
74,05_V3
74,05_V3
74,05_V3
75,05_V3
75,05_V3
75,05_V3
76,05_V3
76,05_V3
77,05_V3
77,05_V3
78,05_V3
78,05_V3
78,05_V3
78,05_V3
79,05_V3
79,05_V3
79,05_V3
80,05_V3
80,05_V3
80,05_V3
81,05_V3
82,05_V3
82,05_V3
82,05_V3
83,05_V3
84,05_V3
85,05_V3
86,05_V3
87,05_V3
90,05_V3
90,05_V3
92,05_V3
92,05_V3
101,05_V3
72,06_V4
73,06_V4
75,06_V4
76,06_V4
77,06_V4
79,06_V4
81,06_V4
85,06_V4
86,06_V4
89,06_V4
91,06_V4
98,06_V4
100,06_V4
101,06_V4
102,06_V4
103,06_V4
108,06_V4
111,06_V4
113,06_V4
113,06_V4
115,06_V4
116,06_V4
121,06_V4
122,06_V4
130,06_V4
135,06_V4
141,06_V4
143,06_V4
159,06_V4
28,09_SEF
37,09_SEF
39,09_SEF
44,09_SEF
46,09_SEF
48,09_SEF
49,09_SEF
52,09_SEF
53,09_SEF
54,09_SEF
55,09_SEF
55,09_SEF
56,09_SEF
58,09_SEF
58,09_SEF
60,09_SEF
62,09_SEF
64,09_SEF
65,09_SEF
66,09_SEF
67,09_SEF
68,09_SEF
68,09_SEF
69,09_SEF
69,09_SEF
70,09_SEF
70,09_SEF
71,09_SEF
72,09_SEF
74,09_SEF
75,09_SEF
76,09_SEF
76,09_SEF
77,09_SEF
78,09_SEF
80,09_SEF
81,09_SEF
83,09_SEF
87,09_SEF
88,09_SEF
89,09_SEF
90,09_SEF
90,09_SEF
91,09_SEF
92,09_SEF
94,09_SEF
94,09_SEF
97,09_SEF
99,09_SEF
102,09_SEF
102,09_SEF
103,09_SEF
103,09_SEF
106,09_SEF
107,09_SEF
110,09_SEF
112,09_SEF
114,09_SEF
127,09_SEF
127,09_SEF
136,09_SEF
153,09_SEF
160,09_SEF
174,09_SEF
37,10_ACC
38,10_ACC
54,10_ACC
55,10_ACC
68,10_ACC
68,10_ACC
71,10_ACC
75,10_ACC
78,10_ACC
85,10_ACC
86,10_ACC
94,10_ACC
96,10_ACC
99,10_ACC
100,10_ACC
102,10_ACC
105,10_ACC
112,10_ACC
112,10_ACC
114,10_ACC
134,10_ACC
183,10_ACC
187,10_ACC
24,08_FEF
29,08_FEF
34,08_FEF
35,08_FEF
36,08_FEF
51,08_FEF
51,08_FEF
52,08_FEF
52,08_FEF
54,08_FEF
54,08_FEF
55,08_FEF
56,08_FEF
56,08_FEF
57,08_FEF
58,08_FEF
58,08_FEF
58,08_FEF
58,08_FEF
60,08_FEF
61,08_FEF
61,08_FEF
61,08_FEF
62,08_FEF
63,08_FEF
63,08_FEF
63,08_FEF
64,08_FEF
66,08_FEF
66,08_FEF
67,08_FEF
67,08_FEF
68,08_FEF
68,08_FEF
68,08_FEF
69,08_FEF
69,08_FEF
70,08_FEF
71,08_FEF
72,08_FEF
72,08_FEF
72,08_FEF
72,08_FEF
76,08_FEF
76,08_FEF
79,08_FEF
79,08_FEF
80,08_FEF
83,08_FEF
85,08_FEF
87,08_FEF
87,08_FEF
88,08_FEF
88,08_FEF
89,08_FEF
91,08_FEF
92,08_FEF
95,08_FEF
96,08_FEF
102,08_FEF
118,08_FEF
129,08_FEF
49,07_MT_MST
51,07_MT_MST
53,07_MT_MST
55,07_MT_MST
55,07_MT_MST
55,07_MT_MST
56,07_MT_MST
56,07_MT_MST
57,07_MT_MST
58,07_MT_MST
58,07_MT_MST
59,07_MT_MST
59,07_MT_MST
59,07_MT_MST
60,07_MT_MST
60,07_MT_MST
61,07_MT_MST
61,07_MT_MST
61,07_MT_MST
61,07_MT_MST
61,07_MT_MST
61,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
62,07_MT_MST
63,07_MT_MST
63,07_MT_MST
63,07_MT_MST
64,07_MT_MST
64,07_MT_MST
65,07_MT_MST
65,07_MT_MST
65,07_MT_MST
65,07_MT_MST
66,07_MT_MST
66,07_MT_MST
66,07_MT_MST
