figure_neuronIdx,figure_flag,figure_index,figure_layer,figure_measure
1,0,-0.0823028797033944,l2,vs
2,0,-0.0323720389486669,l2,vs
3,0,-0.0204237038842191,l2,vs
4,0,-0.0418095243172239,l2,vs
5,1,-0.092771690503971,l2,vs
24,1,0.0799325598810878,l2,vs
25,0,-0.010320190421024,l2,vs
36,0,0.0255637424798136,l2,vs
37,0,0.0252518246631272,l2,vs
45,0,-0.0580361038007385,l2,vs
54,0,-0.0935990048345483,l2,vs
55,0,-0.17339161363195,l2,vs
68,0,0.0194964688486031,l2,vs
69,1,-0.104781761113757,l2,vs
70,1,-0.115272783656005,l2,vs
80,0,0.0280942455279526,l2,vs
81,0,0.0110739327552566,l2,vs
88,0,-0.0539117839569806,l2,vs
1,0,-0.0315171599231424,l2,ls
2,1,-0.0899736162006699,l2,ls
3,0,-0.0941059401966878,l2,ls
4,0,0.0321953066106865,l2,ls
5,0,-0.0457223108511459,l2,ls
24,1,-0.11183510600901,l2,ls
25,1,-0.235713737172429,l2,ls
36,1,-0.208257472507724,l2,ls
37,1,-0.145922245696171,l2,ls
45,1,-0.0822866474548962,l2,ls
54,1,-0.205099143764827,l2,ls
55,1,-0.229208958947448,l2,ls
68,0,-0.0235566015850695,l2,ls
69,1,-0.170930021061419,l2,ls
70,1,-0.186910679198071,l2,ls
80,1,-0.0827302854910617,l2,ls
81,1,-0.186038527677995,l2,ls
88,0,-0.077742268680658,l2,ls
6,0,-0.111189316600013,l3,vs
7,0,0.0633167056707315,l3,vs
8,0,-0.0893127088522524,l3,vs
9,0,0.00801473535060225,l3,vs
10,0,-0.000884853884058764,l3,vs
11,0,0.0436885382060501,l3,vs
12,0,-0.0245474380268693,l3,vs
13,0,-0.0241190826238106,l3,vs
26,0,-0.00793916759409357,l3,vs
27,0,-0.0052637022771421,l3,vs
28,0,-0.0836507372109391,l3,vs
29,0,-0.0158416708268712,l3,vs
38,0,-0.0161739390075282,l3,vs
39,0,-0.0693688895560997,l3,vs
40,0,-0.0474464444247266,l3,vs
41,0,-0.0252015164063413,l3,vs
46,1,-0.0831433325134963,l3,vs
47,0,-0.0469880378971374,l3,vs
48,0,-0.088616332079868,l3,vs
49,0,-0.198778546069466,l3,vs
50,0,-0.013176087280007,l3,vs
56,0,-0.0583863434261463,l3,vs
57,1,-0.168892155518165,l3,vs
58,1,-0.274103942080452,l3,vs
59,0,-0.0616037651963091,l3,vs
60,0,0.0548818352464376,l3,vs
61,0,-0.153337630693295,l3,vs
62,0,-0.0685759690714762,l3,vs
71,1,-0.0984774000450444,l3,vs
72,1,-0.242959309113195,l3,vs
73,1,-0.0812922598191477,l3,vs
74,0,-0.0454742728601411,l3,vs
75,1,-0.134443418300627,l3,vs
82,0,0.0196585479286658,l3,vs
83,0,0.0145100611892351,l3,vs
84,0,0.00141265555175326,l3,vs
85,0,0.0053821950702427,l3,vs
89,0,-0.00408337402493485,l3,vs
90,0,0.0631264115748325,l3,vs
91,0,0.0162189348573507,l3,vs
92,0,0.0162987803169893,l3,vs
93,0,0.0321833038085501,l3,vs
96,0,0.0615500522191081,l3,vs
97,0,0.0230638187149922,l3,vs
98,0,0.0824229886366422,l3,vs
99,0,0.0815684761193351,l3,vs
100,0,0.0120718632892291,l3,vs
102,0,-0.0657635457158615,l3,vs
103,0,0.0381814325781614,l3,vs
104,0,-0.0981149734748406,l3,vs
105,0,-0.0190321141685186,l3,vs
106,0,0.000578156671271689,l3,vs
107,0,0.0847160644771331,l3,vs
110,0,0.0172428760193772,l3,vs
111,1,0.113541103469585,l3,vs
6,1,0.178181761706088,l3,ls
7,1,0.252398657132047,l3,ls
8,0,-0.075943099635891,l3,ls
9,1,0.284488630975594,l3,ls
10,1,0.476135329667291,l3,ls
11,0,0.0450946027454834,l3,ls
12,1,0.118838189265445,l3,ls
13,0,0.0406359848873543,l3,ls
26,1,-0.642397432598558,l3,ls
27,0,-0.0855744573642512,l3,ls
28,1,0.414269041018771,l3,ls
29,1,0.337497385546207,l3,ls
38,1,-0.0455340103237556,l3,ls
39,1,0.0790708127914209,l3,ls
40,0,0.00220719101462032,l3,ls
41,1,0.140199783598285,l3,ls
46,1,-0.0558485933170665,l3,ls
47,1,0.183540593133747,l3,ls
48,1,0.204715667586355,l3,ls
49,1,0.372436341607826,l3,ls
50,0,-0.0544762034637297,l3,ls
56,0,-0.0919498214597129,l3,ls
57,0,-0.018098463345618,l3,ls
58,1,0.38248288751497,l3,ls
59,1,0.198554088076921,l3,ls
60,1,0.161056425348169,l3,ls
61,1,0.443097374369511,l3,ls
62,1,-0.11511103650559,l3,ls
71,1,-0.126025036247961,l3,ls
72,1,0.456140658748488,l3,ls
73,1,0.148866927159058,l3,ls
74,1,0.204031118853825,l3,ls
75,1,0.187396438209536,l3,ls
82,0,-0.0259775106579357,l3,ls
83,1,-0.0815321830123827,l3,ls
84,1,0.105668560307566,l3,ls
85,1,-0.0727444913299879,l3,ls
89,0,-0.0321523352730919,l3,ls
90,0,-0.0931604005091784,l3,ls
91,1,-0.0598270406024329,l3,ls
92,1,-0.051613349974803,l3,ls
93,1,-0.165511976945025,l3,ls
96,0,-0.0444573321764702,l3,ls
97,0,-0.095401574898037,l3,ls
98,0,0.00237431012755896,l3,ls
99,1,-0.0918343378103897,l3,ls
100,1,-0.111101929478762,l3,ls
102,1,-0.149084802616189,l3,ls
103,0,-0.0277905244371039,l3,ls
104,0,-0.114036906501725,l3,ls
105,1,0.0901603051700418,l3,ls
106,1,-0.200490072437078,l3,ls
107,1,-0.109570744197124,l3,ls
110,1,-0.24113041384672,l3,ls
111,0,0.0497277511010542,l3,ls
14,0,0.0107968423370019,l5,vs
15,0,0.0310294037274791,l5,vs
16,0,-0.0188912114796777,l5,vs
17,0,-0.0780671007417962,l5,vs
18,0,0.00503491506959672,l5,vs
19,0,-0.0296771240968987,l5,vs
20,0,-0.0854457680323396,l5,vs
30,0,-0.0463437361030885,l5,vs
31,0,-0.0193871831194115,l5,vs
32,1,-0.0928117186369706,l5,vs
33,0,0.0678122879607387,l5,vs
34,0,0.0123711051091287,l5,vs
42,0,0.0012226363332746,l5,vs
43,0,0.0232032388180825,l5,vs
44,0,-0.0136855500115031,l5,vs
51,0,-0.0433671074801025,l5,vs
52,0,0.103504017059234,l5,vs
53,1,-0.119814708797281,l5,vs
63,0,-0.0454672793205648,l5,vs
64,0,-0.0387014113832407,l5,vs
65,0,-0.0525979464287232,l5,vs
66,0,-0.06799751171935,l5,vs
67,0,-0.0522010339761139,l5,vs
76,0,-0.039837089463987,l5,vs
77,0,0.0175121491197186,l5,vs
78,1,-0.146034100646018,l5,vs
79,0,-0.0372356977918303,l5,vs
86,0,-0.0160655212740402,l5,vs
87,0,0.018894124325201,l5,vs
108,0,0.13760169364226,l5,vs
109,0,-0.0193274550423572,l5,vs
